term,Count,Bg,pvalue,padj,Name,TargetSize
GO:0046906,11,62,9.793377669200979e-17,9.861931312885386e-14,tetrapyrrole binding,74
GO:0009765,10,53,1.3487489943367197e-15,3.395475593242692e-13,"photosynthesis, light harvesting",74
GO:0009768,9,34,1.3168664386834522e-15,3.395475593242692e-13,"photosynthesis, light harvesting in photosystem I",74
GO:0031409,9,33,9.708060575458376e-16,3.395475593242692e-13,pigment binding,74
GO:0016168,9,36,2.3513420092038896e-15,4.735602806536634e-13,chlorophyll binding,74
GO:0019684,11,140,1.0688183496813201e-12,1.7938334635484824e-10,"photosynthesis, light reaction",74
GO:0010287,10,115,4.391118041462141e-12,6.316936953931966e-10,plastoglobule,74
GO:0015979,11,188,2.6859281639093894e-11,3.380912076320944e-9,photosynthesis,74
GO:0034357,14,442,1.5859305039418587e-10,1.5970320174694516e-8,photosynthetic membrane,74
GO:0042651,14,439,1.4505639889808366e-10,1.5970320174694516e-8,thylakoid membrane,74
GO:0044436,14,468,3.345030648696775e-10,3.062223512034229e-8,obsolete thylakoid part,74
GO:0009534,14,501,8.094182750412488e-10,6.269878484357981e-8,chloroplast thylakoid,74
GO:0009535,13,412,8.048132501419527e-10,6.269878484357981e-8,chloroplast thylakoid membrane,74
GO:0031976,14,504,8.742981747163767e-10,6.288701870995653e-8,plastid thylakoid,74
GO:0055035,13,423,1.1078310962988736e-9,7.43723942648644e-8,plastid thylakoid membrane,74
GO:0009579,15,635,1.864147368593866e-9,1.1732477501087644e-7,thylakoid,74
GO:0009517,4,7,3.72031596538397e-9,2.2037401042009753e-7,PSII associated light-harvesting complex II,74
GO:0030076,4,8,7.422143038007226e-9,3.9337358101438294e-7,light-harvesting complex,74
GO:0009503,4,8,7.422143038007226e-9,3.9337358101438294e-7,thylakoid light-harvesting complex,74
GO:0098807,5,25,1.6795937002881712e-8,8.054051696143754e-7,chloroplast thylakoid membrane protein complex,74
GO:0009521,5,25,1.6795937002881712e-8,8.054051696143754e-7,photosystem,74
GO:0009522,4,12,5.1965510441068875e-8,2.3786031370071073e-6,photosystem I,74
GO:0006091,11,401,7.55781169620399e-8,3.309007120903225e-6,generation of precursor metabolites and energy,74
GO:1903428,3,4,1.356272142766292e-7,5.690691865690234e-6,positive regulation of reactive oxygen species biosynthetic process,74
GO:0009523,4,17,2.467669509073805e-7,9.939772782549285e-6,photosystem II,74
GO:0009769,3,5,3.3826684800468433e-7,1.3101335228489121e-5,"photosynthesis, light harvesting in photosystem II",74
GO:0009941,14,851,5.977934429064252e-7,2.2295481370621118e-5,chloroplast envelope,74
GO:0009526,14,880,8.906480120427829e-7,3.11623265982054e-5,plastid envelope,74
GO:0010218,6,99,8.974254928976729e-7,3.11623265982054e-5,response to far red light,74
GO:0009645,4,24,1.0827370155341611e-6,3.634387248809668e-5,response to low light intensity stimulus,74
GO:0010114,6,118,2.512534372827711e-6,8.161684236895177e-5,response to red light,74
GO:0048037,9,375,3.786847072996459e-6,1.1916734382835731e-4,obsolete cofactor binding,74
GO:0009637,6,139,6.485183325190486e-6,1.9789635177172178e-4,response to blue light,74
GO:1903426,3,13,9.493157989018791e-6,2.811650027924095e-4,regulation of reactive oxygen species biosynthetic process,74
GO:2000379,3,17,2.235883913410678e-5,6.432957430870151e-4,positive regulation of reactive oxygen species metabolic process,74
GO:0009269,3,23,5.741246837679294e-5,0.0015625501528494729,response to desiccation,74
GO:0019904,5,130,6.924503490295286e-5,0.0018349934249282508,protein domain specific binding,74
GO:0015995,3,29,1.1679066509308336e-4,0.0029402049937183737,chlorophyll biosynthetic process,74
GO:0090333,3,29,1.1679066509308336e-4,0.0029402049937183737,regulation of stomatal closure,74
GO:0030104,3,30,1.2946172635551866e-4,0.003179706303414812,obsolete water homeostasis,74
GO:0009314,13,1203,1.3396954189500422e-4,0.003212079254482601,response to radiation,74
GO:0031975,14,1459,2.4835752720021956e-4,0.005557689553124913,obsolete envelope,74
GO:0031967,14,1458,2.466121586092041e-4,0.005557689553124913,organelle envelope,74
GO:0044434,15,1668,2.917658355393316e-4,0.006387134704089281,obsolete chloroplast part,74
GO:0009416,12,1146,3.3372398214203487e-4,0.007150213830149556,response to light stimulus,74
GO:0044435,15,1694,3.444046270180565e-4,0.0072253220709829775,obsolete plastid part,74
GO:0006779,3,44,4.0860993358233567e-4,0.008068043198380628,porphyrin-containing compound biosynthetic process,74
GO:0031984,14,1555,4.7438608138157144e-4,0.009013335546249857,organelle subcompartment,74
GO:0009639,6,301,4.671480532225401e-4,0.009013335546249857,response to red or far red light,74
GO:0033014,3,48,5.286242422659855e-4,0.009857863184478656,tetrapyrrole biosynthetic process,74
GO:0015994,3,49,5.617764943176996e-4,0.010285616905053153,chlorophyll metabolic process,74
GO:0016020,37,7299,0.001225030460908946,0.02129273543911828,membrane,74
GO:0004252,3,64,0.001226393898181589,0.02129273543911828,serine-type endopeptidase activity,74
GO:0006778,3,68,0.0014613949906029755,0.02494279246673214,porphyrin-containing compound metabolic process,74
GO:0033013,3,70,0.0015887585582767697,0.02666466446974512,tetrapyrrole metabolic process,74
GO:0071554,8,689,0.0018697487462441735,0.030866180122424307,cell wall organization or biogenesis,74
GO:0009570,10,1038,0.0020319067853225544,0.03247825607650496,chloroplast stroma,74
GO:0009532,10,1050,0.0022099541534829786,0.03371854291753575,plastid stroma,74
GO:0009834,3,80,0.0023293301238429326,0.035009484100146766,plant-type secondary cell wall biogenesis,74
GO:0044425,16,2264,0.0024200248698474356,0.035558827750189655,obsolete membrane part,74
GO:0009644,4,171,0.0024365035896356368,0.035558827750189655,response to high light intensity,74
GO:0043168,9,892,0.002526800374456514,0.036349828243967285,anion binding,74
GO:0009507,19,2956,0.0026610276629475006,0.03774161769842441,chloroplast,74
GO:0031224,11,1271,0.002789225133768979,0.0384760234206214,obsolete intrinsic component of membrane,74
GO:2000377,3,85,0.002767639087194258,0.0384760234206214,regulation of reactive oxygen species metabolic process,74
GO:0031225,5,298,0.0029926164393891995,0.040723848033309785,obsolete anchored component of membrane,74
