term,Count,Bg,pvalue,padj,Name,TargetSize
GO:0018874,4,10,6.115629476772812e-9,5.4918352701419855e-6,benzoate metabolic process,54
GO:0042537,5,50,1.2754512327014895e-7,5.7267760348296876e-5,benzene-containing compound metabolic process,54
GO:0052641,3,7,4.520820806760157e-7,5.799567263529458e-5,benzoic acid glucosyltransferase activity,54
GO:0090704,3,7,4.520820806760157e-7,5.799567263529458e-5,nicotinate-O-glucosyltransferase activity,54
GO:0009408,9,369,2.1313811287554844e-7,5.799567263529458e-5,response to heat,54
GO:0052639,3,7,4.520820806760157e-7,5.799567263529458e-5,salicylic acid glucosyltransferase (ester-forming) activity,54
GO:0052640,3,7,4.520820806760157e-7,5.799567263529458e-5,salicylic acid glucosyltransferase (glucoside-forming) activity,54
GO:0080002,3,8,7.221038496098203e-7,8.105615711870233e-5,UDP-glucose:4-aminobenzoate acylglucosyltransferase activity,54
GO:0009696,4,31,8.827837070918641e-7,8.808219655205488e-5,salicylic acid metabolic process,54
GO:0046482,3,10,1.5421187635823195e-6,1.3848226496969229e-4,para-aminobenzoic acid metabolic process,54
GO:0018958,4,48,5.2969247200420695e-6,4.3242167259979807e-4,phenol-containing compound metabolic process,54
GO:0016999,5,144,2.442221683943885e-5,0.0018275958934846738,antibiotic metabolic process,54
GO:0009644,5,171,5.553790882479633e-5,0.0038363878557436237,response to high light intensity,54
GO:0010286,4,94,7.651535679281621e-5,0.004907913599996354,heat acclimation,54
GO:0009636,7,466,1.1819699531301176e-4,0.007076060119405637,response to toxic substance,54
GO:0017144,7,581,4.5234112275308356e-4,0.022276361020880084,GO:0017144,54
GO:0010030,3,60,4.0403238126318186e-4,0.022276361020880084,positive regulation of seed germination,54
GO:0080043,4,153,4.961327621576856e-4,0.022276361020880084,quercetin 3-O-glucosyltransferase activity,54
GO:0080044,4,153,4.961327621576856e-4,0.022276361020880084,quercetin 7-O-glucosyltransferase activity,54
GO:0042542,4,150,4.604183361572162e-4,0.022276361020880084,response to hydrogen peroxide,54
GO:0009642,5,281,5.583302662295578e-4,0.02387526567019728,response to light intensity,54
GO:0009266,9,1061,8.640152512632447e-4,0.03526753161974517,response to temperature stimulus,54
GO:0008194,5,328,0.0011172194769870616,0.0436201343623644,UDP-glycosyltransferase activity,54
