Gene,Gene_Original,Mean_ABS_SHAP,Rank
BraA02g010960,BraA02g010960.3.5C,0.16079849047088407,1
BraA03g027460,BraA03g027460.3.5C,0.08165066543654037,2
BraA03g011140,BraA03g011140.3.5C,0.047480401335732586,3
BraA02g043270,BraA02g043270.3.5C,0.02070611381365512,4
BraA10g028190,BraA10g028190.3.5C,0.016655257798791352,5
BraA06g045850,BraA06g045850.3.5C,0.000862310751099216,6
BraA01g004570,BraA01g004570.3.5C,0.0008015822614276084,7
BraA03g020620,BraA03g020620.3.5C,0.0007225199472573042,8
BraA06g033910,BraA06g033910.3.5C,0.0006478659586461698,9
BraA03g065410,BraA03g065410.3.5C,0.000629268872360296,10
BraA03g040990,BraA03g040990.3.5C,0.0006146950663300957,11
BraA01g005960,BraA01g005960.3.5C,0.0006100834825083848,12
BraA07g008550,BraA07g008550.3.5C,0.0006052123637444724,13
BraA01g011510,BraA01g011510.3.5C,0.0005835730170885427,14
BraA06g026070,BraA06g026070.3.5C,0.0005449514166981083,15
BraA02g009660,BraA02g009660.3.5C,0.0005224285617491067,16
BraA02g021800,BraA02g021800.3.5C,0.0005130789248836089,17
BraA04g013030,BraA04g013030.3.5C,0.0005087167404183229,18
BraA09g033030,BraA09g033030.3.5C,0.0005009368985699917,19
BraA03g000100,BraA03g000100.3.5C,0.0004857292873523521,20
BraA06g002020,BraA06g002020.3.5C,0.0004719216441600688,21
BraA02g043370,BraA02g043370.3.5C,0.000466329721218385,22
BraA01g009010,BraA01g009010.3.5C,0.00046362828273268655,23
BraA01g018580,BraA01g018580.3.5C,0.00045596795258461887,24
BraA07g000650,BraA07g000650.3.5C,0.00045400521494787433,25
BraA06g012360,BraA06g012360.3.5C,0.0004499734704956388,26
BraA09g033420,BraA09g033420.3.5C,0.0003932351738765145,27
BraA10g033710,BraA10g033710.3.5C,0.0003638702955454098,28
BraA03g000890,BraA03g000890.3.5C,0.0003354372375500675,29
BraA06g044090,BraA06g044090.3.5C,0.0003173094815106008,30
BraA05g016600,BraA05g016600.3.5C,0.0003143107140155774,31
BraA03g048080,BraA03g048080.3.5C,0.0002961835264592316,32
BraA07g005980,BraA07g005980.3.5C,0.00020758942979633472,33
