Gene,Gene_Original,Mean_ABS_SHAP,Rank
BraA02g010960,BraA02g010960.3.5C,0.16079849047088407,1
BraA03g027460,BraA03g027460.3.5C,0.08165066543654037,2
BraA03g011140,BraA03g011140.3.5C,0.047480401335732586,3
BraA02g043270,BraA02g043270.3.5C,0.02070611381365512,4
BraA10g028190,BraA10g028190.3.5C,0.016655257798791352,5
BraA06g045850,BraA06g045850.3.5C,0.000862310751099216,6
BraA01g004570,BraA01g004570.3.5C,0.0008015822614276084,7
BraA03g020620,BraA03g020620.3.5C,0.0007225199472573042,8
BraA06g033910,BraA06g033910.3.5C,0.0006478659586461698,9
BraA03g065410,BraA03g065410.3.5C,0.000629268872360296,10
