"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"SRR12632445",63.8515083195396,-69.6958237510343,100.14968357843,-2.63906292722913,74.0392592595854,-14.7214936669513,-1.59644659195055,33.2649825803674,-20.4058726903143,3.90979164801358,-40.1627673933599,0.828242555081473,-8.51799999718366,29.8023919407806,-9.54600002996814,9.15519008403152,-1.52895360243716,-6.14304993272391,6.0799731874086,2.83783768606657,10.0272833973149,-11.5352079580803,-6.99047678460924,-6.34856141198751,0.364272036762814,9.41013587509877,13.5216186266077,-11.8998991953191,-27.7986066704415,-16.8563302279732,-19.9608111900673,18.0247696028769,16.7211880179737,7.48615978003953,6.9264034124151,10.9177608749549,12.5469530318342,-19.3216704684949,-29.8292131103839,8.11601262955809,23.6151235131277,17.0110284961312,35.7193984043668,-31.4379731992846,-31.6422433069984,-22.7352181635896,16.1066246063713,28.4333254837906,4.69450177392457,3.39289416072539,0.986480551105692,5.79360871220316,5.43467615195977,-32.5881566631828,-6.6110569584426,5.25610399027463,-9.51981167655651,3.26926877630274,-2.44701350563256,-2.22524689647008e-13
"SRR12632457",91.3681352770252,-93.7980002027815,131.725553246535,-15.9100426712494,39.8707210709038,-9.41689648075675,-14.0643293895784,29.6753209708562,-18.1738977493249,-70.7487342683484,-34.2930350908952,-14.7272340320099,-0.438550108879913,24.3092026717473,5.00476696256748,30.6828688000961,8.28203643492138,24.7124350398556,0.284792397633565,11.8856390396743,-2.53641699385383,4.65930530178966,2.42059683880099,-5.84736311719298,9.79698774357547,-12.7076226118313,6.81532573470786,0.519826355639591,-2.16115289080429,-6.1168022753372,6.10674059887512,1.07968892080775,2.04811988609638,-2.29560971300313,-2.91364518038906,-6.76571181796242,-16.7724379776997,9.43236035745325,3.06701196184621,-9.2876038549031,-13.6235514368239,-22.1806975920905,-20.0549097622467,18.0339683195139,22.3405561302175,18.7253348522215,-1.84149391125434,-15.0957411966308,0.392241659867034,-7.28776457345618,-14.4153509678294,6.97207515043085,7.1432400560801,-7.485038371636,-39.0003383987328,41.8941372059816,-14.9464149699224,4.17273015840521,-1.30939648701742,-3.10753159316057e-13
"SRR12632456",74.9839879002309,-87.0211067009699,127.811080498109,-21.8152829773357,54.4872363419159,-11.2302325677361,-0.598865931550504,40.6930424058705,-33.945865402734,-69.6264684230508,-27.8494931496183,-23.6838612853895,-6.78270950360579,31.0777438023244,13.0535350501898,22.3053748812416,18.8055774441394,6.90199865857648,1.43854416572953,11.4499010157742,-9.23355111622665,10.9236060445941,-4.08249073753544,-5.37298212771865,1.38840292051323,2.39599067913351,0.620797496100213,-2.96695927950918,0.582087077805729,-14.025243157757,-2.93675065873618,19.3802690976956,12.0192388094924,5.02685164617112,-2.16039982098928,-10.778756182778,-8.4876039113395,0.717723575597528,1.72200923460352,-1.18142431315352,2.42932118461786,1.32574322206472,-4.03747183317596,5.74986921194336,9.87730833072576,11.6515735371718,-6.80541383338196,-7.12627620698409,0.1110002748712,1.0383304345014,7.18266375762544,-9.52691297379059,-9.03393857881608,28.5375829424188,46.4514676106604,-45.7030200752021,-7.30315279458419,1.72968693072296,-1.17510279575493,-1.06225249950354e-13
"SRR12632437",78.399917190577,-27.8033705491881,-79.3195729254312,-94.82750097272,46.9849974824175,-3.42090393113852,2.38888147210698,1.18501565420382,-11.9951357632987,23.2834593386024,-35.0032538121201,-4.64573470268585,-21.9464261613335,5.98851625068257,10.3768862686124,-26.098270661335,-23.2086802843648,-59.2214122638556,13.7409563873699,-7.05958041644635,17.7614463238052,-23.6336274479463,-17.2090609728004,12.7116695449904,12.4974651438683,40.6947899444791,-13.6550628476695,6.89672609917661,22.1716220664397,31.3623241985304,-9.3253510419909,18.2894704141132,-13.1907524701763,-13.0845938247356,-1.36321421414191,42.7999836515044,24.6536593826276,19.2894339539958,-38.5928446544856,8.46905667556529,1.77912751433766,-13.6801341426059,-2.17381652506772,23.20164328773,23.0177296941406,9.49479362193374,-8.8921562993067,-2.34676124779959,8.00324313780539,2.63277834528316,12.9619550772326,7.96240464435331,11.5956355205089,6.74164268641324,2.28638216814918,2.83389331169614,-9.4218413485906,1.05108393716176,-1.95145930870005,-1.83533852178563e-13
"SRR12632436",106.974950286782,-20.7367832468101,-76.0206118772933,-70.6457150374615,32.4165034593061,-13.3300002464224,6.77924074332215,5.52716819469746,1.09006923842805,-13.7146349797873,-21.3732929630932,18.7220332996314,-11.4957837012877,15.3971158450024,-8.3928398270519,-0.493966386088741,12.3998961673044,2.62037534971724,15.3087585552531,12.5499785056872,-15.1082996896441,7.1015757866753,-5.05020264776445,-7.36594942701894,-14.6274744771628,15.7993397695917,-6.81462659608331,13.7748589778605,19.8917711410469,42.8199679284763,21.8334633383037,-6.17689283132228,-33.9798542280521,-13.1191855390755,1.51856393405257,-20.2438504342166,-1.1911637340213,35.0138118351091,31.8679490648798,-7.88972047573598,5.76087431744865,61.4418811491528,3.03573218007184,-31.217125421903,-0.552706990719371,7.88245407082971,-0.493139519097607,1.198527219275,-21.7473038546988,-1.80927599665839,-13.6040885272378,-7.31810289174536,-9.10498813661309,-9.48547819333501,-12.6005797328882,-7.22232096015925,-4.36857975519681,3.52196097134948,0.738509562949489,-1.95338211751717e-13
"SRR12632435",87.887011986729,-21.0564276766967,-70.2344534608707,-74.8759648718103,31.8708051820949,-11.6088322970905,-4.13202769387931,-2.34759053564907,28.5570253681763,12.002104546603,-39.1962916338847,3.80966469428995,-24.628226817594,-15.4489310184852,-2.58185046094149,-18.0920515885772,-43.9412173230023,-11.1713217589736,30.1370241178951,19.5094142704406,20.4797798327828,-21.2463900752782,-26.8127261730154,-15.5004575947628,-1.97306708031422,5.99285792458723,-2.9603715032925,14.0321805453339,35.9965936933321,-28.0888102546037,25.2664579781468,-40.0404815756194,15.9808623641234,23.1014827637238,7.46565779720912,-29.6445544431379,-24.421511169759,-25.4556508425224,29.290248014923,8.22280917053532,-12.0524233359662,-24.0345134267543,-15.1978946097316,1.90861094345059,-25.9549198721457,-27.4019363842108,3.7231306803588,1.05458004511605,9.86680491358009,1.50378217150028,2.74820879307364,-0.977346438465572,-3.12637004420545,2.43482275791662,6.67553461210376,1.78054310856888,-11.8566640219481,2.66675034027261,-1.47757049571428,-7.04742254137303e-14
"SRR12632407",14.3460513814109,-2.97681328531994,21.3687073911151,86.7609686649119,-32.8197648270902,-40.133737423161,-0.0555232985338278,9.28517110994886,10.7895279210349,2.50180213291511,23.3357416685498,-21.1136202988431,7.01018462723392,-20.891645954901,8.5362513967426,-13.1771441866307,-1.82572326580239,-26.0359600017032,-10.5340571325102,1.99933981892417,-19.5528983792346,25.1951766146779,2.74606152441699,6.40202004409385,21.8828298395464,-6.03133272815979,-9.27183540638578,11.9148318880198,22.2483489517347,-6.8748932896487,8.92828792301755,5.25520922220252,12.5627558791435,5.48990771273564,13.0806891447723,-9.26276837959855,-15.6007793698215,28.9285438792041,-10.1441377868396,12.5258708084344,5.0918839981273,2.90283210022879,-44.0377473309466,-16.1051246223434,21.7517993071051,-11.6452214645702,9.15385343090269,29.1981069263295,14.0344691933422,-5.8853048568555,-13.334355079406,40.7993910114297,22.3144882387997,-24.5650114440997,-0.386146686215601,-24.4725498777808,-5.4866389064924,0.691146493895477,-1.49547363810514,2.34093560508297e-13
"SRR12632406",47.1477211573485,-7.74253286512435,25.6723741821669,78.04149175485,-10.2881618890238,-28.3750455331848,12.4266940386866,18.2709264385677,-2.71409122372754,16.9308050352752,11.0927691838412,-8.00943042415314,4.32395273705234,-19.0334911136231,3.00259059741644,-10.9768675327071,9.80864194049002,-13.6259448321299,-10.7046948979114,-3.51174074344575,-19.925982773921,19.8748357520362,-0.315890563529465,9.39334084626608,4.82358010109872,4.93774387104682,-11.8998285852567,1.32592995148467,10.7181606466981,6.18394511636686,-11.0022837010041,13.4502345877392,6.89328999444225,15.0974156501769,6.23702386023689,0.0257719826709788,8.21112386987364,17.7038780648981,-0.763257787135626,14.9168902707147,20.4289049082725,27.5465435967463,-18.3749067224779,1.12916401661615,-33.7866737609262,-1.45844926884393,4.42859831945721,1.38700870958239,46.6536249286694,-11.9437245437799,3.31995825134205,-21.1267821507951,-22.9824541338363,42.6491347698525,-4.14191471535632,31.1108302565302,-8.3611828931516,3.19949744762467,0.482675375266577,-3.06198100728794e-13
"SRR12632405",14.0376942101439,-27.1366444983923,52.9642532378478,68.0516736895487,-44.3499646163182,-18.9057389206138,1.41107987484709,13.1822856418654,39.2242732618995,-2.68575970500904,44.0744576602588,11.6169800370062,1.31809080945396,-38.8670990251433,37.9918058655488,-9.01354128617523,6.04478158225202,-6.17212976763769,11.6045428053977,4.52929399002074,13.8920699183531,-7.77070328458577,3.16378949994645,12.4554792081159,15.6529968614282,17.5438199489375,-15.0069612406908,2.82893067235959,42.4877362255231,-25.9308535754235,-0.1184720942856,17.7296512261953,22.5587736669765,-8.98192690320476,11.8528425347166,-10.4450672002711,-24.302415669439,44.6582758901761,-11.8121685183201,-15.2440125878852,-4.11062899463405,-10.1806162528,50.4799995052904,6.61714579872494,-5.18730946462023,-3.38498037864294,-6.33645995330457,-13.7691248177949,-23.9769880628566,12.0011734302816,9.514676705959,-21.8421158362516,-10.6737299884268,-12.2518126069826,-7.14263850994387,-1.21609744524617,-10.1221744357208,1.43504782754248,-1.9644660162302,-3.47293049353381e-13
"SRR12632430",77.297604831339,-7.50595754105037,-105.212999502829,-38.324507563494,-22.8631243376677,-6.99831625515443,4.9989376875878,-10.7611568329046,6.48427949770469,-13.7312457389419,16.0916605157724,-40.2281540917106,-4.00640881069396,-36.9656244630389,26.1315270011949,-18.7401638328116,26.091789081108,1.88801521565108,-14.9782821749613,-4.23735926794002,-4.35985291068445,12.0150735614283,-2.30053538576316,-3.03432271963205,-3.34229771895534,-8.6849636787068,-5.30425424442287,-1.38452606624853,-7.78130899115487,-15.0130342861365,-12.7627376810674,-1.64974332917743,21.4958199768073,18.7265538644034,-10.4657587740321,-6.25066319286494,17.4190064868855,-38.5216687829422,29.9316109708586,-11.2662057830886,2.18173894582907,18.018716129335,30.6599658529545,-11.3894830933736,53.5693735457928,7.20925975113551,2.71508756560317,8.96160273182307,24.3564418001093,4.6375898140704,30.8154985406151,-2.93977715860808,7.17392616712689,2.51619520979544,-18.7183901558955,-2.84265409604431,-11.3501190467103,4.56412944653411,-1.5539373220699,-2.68733928339426e-13
