"sample_id","dataset","type","group","replicate","condition"
"SRR12632445","PRJNA663233","heat-tolerant","control",1,"Normal"
"SRR12632457","PRJNA663233","heat-tolerant","control",2,"Normal"
"SRR12632456","PRJNA663233","heat-tolerant","control",3,"Normal"
"SRR12632437","PRJNA663233","heat-sensitive","control",1,"Normal"
"SRR12632436","PRJNA663233","heat-sensitive","control",2,"Normal"
"SRR12632435","PRJNA663233","heat-sensitive","control",3,"Normal"
"SRR12632407","PRJNA663233","heat-tolerant","control",1,"Normal"
"SRR12632406","PRJNA663233","heat-tolerant","control",2,"Normal"
"SRR12632405","PRJNA663233","heat-tolerant","control",3,"Normal"
"SRR12632430","PRJNA663233","heat-sensitive","control",1,"Normal"
"SRR12632429","PRJNA663233","heat-sensitive","control",2,"Normal"
"SRR12632428","PRJNA663233","heat-sensitive","control",3,"Normal"
"SRR12632446","PRJNA663233","heat-tolerant","treatment",1,"Stress"
"SRR12632444","PRJNA663233","heat-tolerant","treatment",2,"Stress"
"SRR12632447","PRJNA663233","heat-tolerant","treatment",3,"Stress"
"SRR12632404","PRJNA663233","heat-tolerant","control",1,"Normal"
"SRR12632455","PRJNA663233","heat-tolerant","control",2,"Normal"
"SRR12632454","PRJNA663233","heat-tolerant","control",3,"Normal"
"SRR12632453","PRJNA663233","heat-tolerant","control",1,"Normal"
"SRR12632452","PRJNA663233","heat-tolerant","control",2,"Normal"
"SRR12632451","PRJNA663233","heat-tolerant","control",3,"Normal"
"SRR12632424","PRJNA663233","heat-sensitive","control",1,"Normal"
"SRR12632422","PRJNA663233","heat-sensitive","control",2,"Normal"
"SRR12632421","PRJNA663233","heat-sensitive","control",3,"Normal"
"SRR12632443","PRJNA663233","heat-tolerant","treatment",1,"Stress"
"SRR12632442","PRJNA663233","heat-tolerant","treatment",2,"Stress"
"SRR12632441","PRJNA663233","heat-tolerant","treatment",3,"Stress"
"SRR26447755","PRJNA1030162","AiJiaoHuang","control",1,"Normal"
"SRR26447754","PRJNA1030162","AiJiaoHuang","control",2,"Normal"
"SRR26447745","PRJNA1030162","AiJiaoHuang","control",3,"Normal"
"SRR26447751","PRJNA1030162","AiJiaoHuang","treatment",1,"Stress"
"SRR26447750","PRJNA1030162","AiJiaoHuang","treatment",2,"Stress"
"SRR26447749","PRJNA1030162","AiJiaoHuang","treatment",3,"Stress"
"SRR26447741","PRJNA1030162","AiJiaoHuang","treatment",1,"Stress"
"SRR26447740","PRJNA1030162","AiJiaoHuang","treatment",2,"Stress"
"SRR26447739","PRJNA1030162","AiJiaoHuang","treatment",3,"Stress"
"SRR26447744","PRJNA1030162","SHI","control",1,"Normal"
"SRR26447743","PRJNA1030162","SHI","control",2,"Normal"
"SRR26447742","PRJNA1030162","SHI","control",3,"Normal"
"SRR26447748","PRJNA1030162","SHI","treatment",1,"Stress"
"SRR26447747","PRJNA1030162","SHI","treatment",2,"Stress"
"SRR26447746","PRJNA1030162","SHI","treatment",3,"Stress"
"SRR26447738","PRJNA1030162","SHI","treatment",1,"Stress"
"SRR26447753","PRJNA1030162","SHI","treatment",2,"Stress"
"SRR26447752","PRJNA1030162","SHI","treatment",3,"Stress"
"SRR21227071","PRJNA872510","control","control",1,"Normal"
"SRR21227073","PRJNA872510","control","control",2,"Normal"
"SRR21227074","PRJNA872510","control","control",3,"Normal"
"SRR21227072","PRJNA872510","treatment","treatment",1,"Stress"
"SRR21227069","PRJNA872510","treatment","treatment",2,"Stress"
"SRR21227070","PRJNA872510","treatment","treatment",3,"Stress"
"SRR21227075","PRJNA872510","treatment","treatment",1,"Stress"
"SRR21227076","PRJNA872510","treatment","treatment",2,"Stress"
"SRR21227065","PRJNA872510","treatment","treatment",3,"Stress"
"SRR12214241","PRJNA646007","treatment","treatment",1,"Stress"
"SRR12214243","PRJNA646007","treatment","treatment",2,"Stress"
"SRR12214249","PRJNA646007","treatment","treatment",3,"Stress"
"SRR12214245","PRJNA646007","control","control",1,"Normal"
"SRR12214247","PRJNA646007","control","control",2,"Normal"
"SRR12214251","PRJNA646007","control","control",3,"Normal"
