Brapa_Gene,Ath_Gene,Identity,Alignment_Length,E_value,Bit_Score,Direction
BraA03g027460,AT4G10250.1,89.899,198,4.35e-123,346,Up
BraA09g033030,AT4G10250.1,64.324,185,7.04e-82,240,Up
BraA02g043370,AT5G25450.1,92.562,121,3.79e-79,229,Up
BraA07g000650,AT4G23160.3,33.202,506,9.58e-74,266,Up
BraA02g043270,AT5G25560.1,84.74,308,0,541,Up
BraA01g005960,AT4G32050.1,80.389,617,0,981,Up
BraA03g011140,AT5G59720.1,77.64,161,5.24e-82,238,Up
BraA02g010960,AT1G53540.1,83.439,157,1.16e-94,271,Up
BraA06g012360,AT1G16440.1,75.338,296,1.18e-146,423,Up
BraA02g021800,AT1G72460.1,69.585,651,0,848,Up
BraA10g028190,AT5G05220.1,75.94,133,1.65e-65,197,Up
BraA09g033420,AT4G29090.1,46.154,221,8.87e-59,214,Up
BraA10g033710,AT4G33070.1,87.912,91,4.5e-51,172,Up
BraA06g045850,AT4G39235.2,83.133,83,4.55e-44,138,Up
BraA07g008550,AT3G24600.1,88.599,307,0,507,Up
BraA06g044090,AT5G45160.1,88.355,833,0,1499,Up
BraA03g048080,AT4G17440.3,72.115,208,2.99e-88,263,Up
BraA01g009010,AT4G28485.2,81,200,5.98e-113,320,Up
BraA05g027310,AT4G23160.3,32.806,506,1.17e-70,257,Up
BraA03g020620,AT2G39050.1,77.097,310,1.98e-163,458,Up
BraA06g002020,AT1G52560.2,84.375,128,1.91e-78,231,Up
BraA03g065410,AT1G62290.1,87.5,512,0,940,Up
BraA01g004570,AT4G33620.1,69.325,326,1.43e-136,406,Up
BraA01g018580,AT4G27670.1,82.969,229,1.76e-123,349,Up
BraA03g040990,AT3G22830.1,71.007,407,0,523,Up
BraA04g013030,AT5G39850.1,95.722,187,8.19e-132,369,Up
BraA01g040050,AT3G12510.1,48.276,145,2.15e-29,106,Up
BraA02g044420,AT5G23230.1,82.564,195,1.24e-119,337,Up
BraA10g001470,AT1G02860.1,84.118,340,0,576,Up
BraA10g016270,AT5G58070.1,64.641,181,6.02e-81,236,Up
BraA03g017860,AT2G33835.1,57.093,571,0,563,Up
BraA03g024830,AT2G29950.1,63.478,115,1.04e-45,145,Up
BraA10g032430,AT5G03740.1,60.403,298,8.71e-104,304,Up
BraA05g036840,AT5G05410.1,33.138,341,5.47e-35,130,Up
BraA01g014700,AT4G23920.1,93.787,338,0,666,Up
BraA07g001250,AT2G19600.1,96.46,226,1.33e-150,432,Up
BraA09g038010,AT1G28260.1,76.992,891,0,1333,Up
BraA03g050300,AT4G21323.1,74.625,733,0,1125,Up
BraAnng002500,ATMG01360.1,100,454,0,903,Up
BraA05g043120,AT3G03620.2,89.969,319,0,572,Up
BraA09g011580,AT2G18050.1,62.42,157,3.14e-51,161,Up
BraA03g061930,AT4G37370.1,88.153,498,0,913,Up
BraA01g010840,AT4G19460.1,92.915,494,0,944,Up
BraA10g026290,AT5G12110.1,87.719,228,6.16e-127,358,Up
BraA02g023190,AT1G74590.1,75,232,1.38e-130,368,Up
BraA07g015860,AT1G21000.1,93.564,202,5.89e-142,395,Up
BraA02g007460,AT5G17860.1,85.121,578,0,957,Up
BraA07g028410,AT1G76590.1,82.677,254,3.55e-151,421,Up
BraA01g001720,AT4G36990.1,79.239,289,7.37e-150,421,Up
BraA07g000460,AT2G20320.2,79.787,1034,0,1632,Up
BraA05g003880,AT2G43820.1,84.855,449,0,809,Up
BraA05g033540,AT3G14620.1,85.088,228,3.6e-143,410,Up
BraA08g036120,AT1G02610.1,80.631,222,9.78e-115,327,Up
BraA02g041120,AT5G48180.1,85.093,322,0,564,Up
BraA08g026660,AT1G27110.1,75.72,486,0,730,Up
BraA03g023180,AT2G43820.1,77.852,447,0,717,Up
BraA05g008470,AT2G36770.1,82.31,407,0,710,Up
BraA03g005810,AT5G13420.1,87.699,439,0,755,Up
BraA06g011170,AT1G15100.1,79.487,156,4.68e-76,223,Up
BraA05g032630,AT3G15500.1,81.682,333,0,535,Up
BraA07g041200,AT1G76590.1,88.211,246,2.51e-159,441,Up
BraA07g010850,AT1G30410.2,91.845,1496,0,2786,Up
BraA01g020090,AT4G16563.1,85.4,500,0,699,Up
BraA09g061950,AT1G13470.1,74.126,143,3.15e-62,195,Up
BraA08g001220,AT1G54100.2,96.56,436,0,862,Up
BraA04g017340,AT2G22420.1,91.385,325,0,605,Up
BraA04g021280,AT2G28110.1,84.512,297,0,520,Up
BraA07g012710,AT1G27300.1,66.829,205,6.71e-87,254,Up
BraA03g023200,AT2G43820.1,82.561,453,0,783,Up
BraA09g024510,AT2G02390.1,83.256,215,2.47e-135,379,Up
BraA03g005790,AT5G13320.3,84.441,572,0,1014,Up
BraA07g034250,AT1G67920.1,85.075,67,3.07e-33,108,Up
BraA01g041820,AT5G22690.1,56.353,1031,0,1051,Up
BraA04g022870,AT2G30470.1,72.75,800,0,1132,Up
BraA03g026980,AT4G08900.1,94.083,338,0,657,Up
BraA01g036230,AT3G17660.1,86.441,236,1.94e-151,421,Up
BraA06g028810,AT5G64120.1,87.5,328,0,588,Up
BraA04g022260,AT2G29350.1,83.846,260,1.17e-164,457,Up
BraA01g018870,AT4G28040.1,86.427,361,0,629,Up
