"Brapa_Gene","Ath_Gene"
"BraA03g027460","AT4G10250.1"
"BraA09g033030","AT4G10250.1"
"BraA02g043370","AT5G25450.1"
"BraA07g000650","AT4G23160.3"
"BraA02g043270","AT5G25560.1"
"BraA01g005960","AT4G32050.1"
"BraA03g011140","AT5G59720.1"
"BraA02g010960","AT1G53540.1"
"BraA06g012360","AT1G16440.1"
"BraA02g021800","AT1G72460.1"
"BraA10g028190","AT5G05220.1"
"BraA09g033420","AT4G29090.1"
"BraA10g033710","AT4G33070.1"
"BraA06g045850","AT4G39235.2"
"BraA07g008550","AT3G24600.1"
"BraA06g044090","AT5G45160.1"
"BraA03g048080","AT4G17440.3"
"BraA01g009010","AT4G28485.2"
"BraA05g027310","AT4G23160.3"
"BraA03g020620","AT2G39050.1"
"BraA06g002020","AT1G52560.2"
"BraA03g065410","AT1G62290.1"
"BraA01g004570","AT4G33620.1"
"BraA01g018580","AT4G27670.1"
"BraA03g040990","AT3G22830.1"
"BraA04g013030","AT5G39850.1"
"BraA01g040050","AT3G12510.1"
"BraA02g044420","AT5G23230.1"
"BraA10g001470","AT1G02860.1"
"BraA10g016270","AT5G58070.1"
"BraA03g017860","AT2G33835.1"
"BraA03g024830","AT2G29950.1"
"BraA10g032430","AT5G03740.1"
"BraA05g036840","AT5G05410.1"
"BraA01g014700","AT4G23920.1"
"BraA07g001250","AT2G19600.1"
"BraA09g038010","AT1G28260.1"
"BraA03g050300","AT4G21323.1"
"BraAnng002500","ATMG01360.1"
"BraA05g043120","AT3G03620.2"
"BraA09g011580","AT2G18050.1"
"BraA03g061930","AT4G37370.1"
"BraA01g010840","AT4G19460.1"
"BraA10g026290","AT5G12110.1"
"BraA02g023190","AT1G74590.1"
"BraA07g015860","AT1G21000.1"
"BraA02g007460","AT5G17860.1"
"BraA07g028410","AT1G76590.1"
"BraA01g001720","AT4G36990.1"
"BraA07g000460","AT2G20320.2"
"BraA05g003880","AT2G43820.1"
"BraA05g033540","AT3G14620.1"
"BraA08g036120","AT1G02610.1"
"BraA02g041120","AT5G48180.1"
"BraA08g026660","AT1G27110.1"
"BraA03g023180","AT2G43820.1"
"BraA05g008470","AT2G36770.1"
"BraA03g005810","AT5G13420.1"
"BraA06g011170","AT1G15100.1"
"BraA05g032630","AT3G15500.1"
"BraA07g041200","AT1G76590.1"
"BraA07g010850","AT1G30410.2"
"BraA01g020090","AT4G16563.1"
"BraA09g061950","AT1G13470.1"
"BraA08g001220","AT1G54100.2"
"BraA04g017340","AT2G22420.1"
"BraA04g021280","AT2G28110.1"
"BraA07g012710","AT1G27300.1"
"BraA03g023200","AT2G43820.1"
"BraA09g024510","AT2G02390.1"
"BraA03g005790","AT5G13320.3"
"BraA07g034250","AT1G67920.1"
"BraA01g041820","AT5G22690.1"
"BraA04g022870","AT2G30470.1"
"BraA03g026980","AT4G08900.1"
"BraA01g036230","AT3G17660.1"
"BraA06g028810","AT5G64120.1"
"BraA04g022260","AT2G29350.1"
"BraA01g018870","AT4G28040.1"
"BraA02g024020","AT1G76060.1"
"BraA01g004910","AT4G33150.1"
"BraA06g026070","AT3G49260.1"
"BraA03g000890","AT5G03300.1"
"BraA09g000920","AT4G00950.1"
"BraA03g028290","AT4G12520.1"
"BraA01g011510","AT4G20430.3"
"BraA08g007820","AT1G41830.1"
"BraA09g010210","AT2G11810.1"
"BraA03g015850","AT5G50740.5"
"BraA04g007360","AT3G52500.1"
"BraA03g002520","AT5G06270.1"
"BraA03g000100","AT5G01500.1"
"BraA07g039450","AT1G74470.1"
"BraA10g008740","AT5G50150.1"
"BraA07g028800","AT1G75500.1"
"BraA01g031110","AT3G23810.1"
"BraA09g009990","AT5G66230.1"
"BraA01g008720","AT4G28780.1"
"BraA10g027760","AT5G10180.1"
"BraA02g015010","AT5G53420.1"
"BraA03g018100","AT2G34680.2"
"BraA03g002440","AT5G06150.1"
"BraA03g001360","AT5G03760.1"
"BraA02g006630","AT5G16590.1"
"BraA07g036170","AT1G70280.2"
"BraA03g042290","AT2G04780.1"
"BraA08g010090","AT4G14040.1"
